line,time,score,numBroken,brokenInvariants,brokenSensors
=>473,277050000.000,0.000000,0,"[]","[]"
=>474,277056000.000,0.000000,0,"[]","[]"
=>475,277062000.000,0.000000,0,"[]","[]"
=>476,277068000.000,0.000000,0,"[]","[]"
=>477,277074000.000,0.000000,0,"[]","[]"
=>478,277080000.000,0.000000,0,"[]","[]"
=>479,277086000.000,0.000000,0,"[]","[]"
=>480,277092000.000,0.000000,0,"[]","[]"
=>481,277098000.000,0.000000,0,"[]","[]"
=>482,277104000.000,0.000000,0,"[]","[]"
=>483,277110000.000,0.000000,0,"[]","[]"
=>484,277116000.000,0.000000,0,"[]","[]"
=>485,277122000.000,0.000000,0,"[]","[]"
=>486,277128000.000,0.000000,0,"[]","[]"
=>487,277134000.000,0.000000,0,"[]","[]"
=>488,277140000.000,0.000000,0,"[]","[]"
=>489,277146000.000,0.000000,0,"[]","[]"
=>490,277152000.000,0.000000,0,"[]","[]"
=>491,277158000.000,0.000000,0,"[]","[]"
=>492,277164000.000,0.000000,0,"[]","[]"
=>493,277170000.000,0.000000,0,"[]","[]"
=>494,277176000.000,0.000000,0,"[]","[]"
=>495,277182000.000,0.000000,0,"[]","[]"
=>496,277188000.000,0.000000,0,"[]","[]"
=>497,277194000.000,0.000000,0,"[]","[]"
=>498,277200000.000,0.000000,0,"[]","[]"
=>499,277206000.000,0.000000,0,"[]","[]"
=>500,277212000.000,0.000000,0,"[]","[]"
=>501,277218000.000,0.000000,0,"[]","[]"
=>502,277224000.000,0.000000,0,"[]","[]"
=>503,277230000.000,0.000000,0,"[]","[]"
=>504,277236000.000,0.000000,0,"[]","[]"
=>505,277242000.000,0.000000,0,"[]","[]"
=>506,277248000.000,0.000000,0,"[]","[]"
=>507,277254000.000,0.000000,0,"[]","[]"
=>508,277260000.000,0.000000,0,"[]","[]"
=>509,277266000.000,0.000000,0,"[]","[]"
=>510,277272000.000,0.000000,0,"[]","[]"
=>511,277278000.000,0.000000,0,"[]","[]"
=>512,277284000.000,0.000000,0,"[]","[]"
=>513,277290000.000,0.000000,0,"[]","[]"
=>514,277296000.000,0.000000,0,"[]","[]"
=>515,277302000.000,0.000000,0,"[]","[]"
=>516,277308000.000,0.000000,0,"[]","[]"
=>517,277314000.000,0.000000,0,"[]","[]"
=>518,277320000.000,0.000000,0,"[]","[]"
=>519,277326000.000,0.000000,0,"[]","[]"
=>520,277332000.000,0.000000,0,"[]","[]"
=>521,277338000.000,0.000000,0,"[]","[]"
=>522,277344000.000,0.000000,0,"[]","[]"
=>523,277350000.000,0.000000,0,"[]","[]"
=>524,277356000.000,0.000000,0,"[]","[]"
=>525,277362000.000,0.000000,0,"[]","[]"
=>526,277368000.000,0.000000,0,"[]","[]"
=>527,277374000.000,0.000000,0,"[]","[]"
=>528,277380000.000,0.000000,0,"[]","[]"
=>529,277386000.000,0.000000,0,"[]","[]"
=>530,277392000.000,0.000000,0,"[]","[]"
=>531,277398000.000,0.000000,0,"[]","[]"
=>532,277404000.000,0.000000,0,"[]","[]"
=>533,277410000.000,0.000000,0,"[]","[]"
=>534,277416000.000,0.000000,0,"[]","[]"
=>535,277422000.000,0.000000,0,"[]","[]"
=>536,277428000.000,0.000000,0,"[]","[]"
=>537,277434000.000,0.000000,0,"[]","[]"
=>538,277440000.000,0.000000,0,"[]","[]"
=>539,277446000.000,0.000000,0,"[]","[]"
=>540,277452000.000,0.000000,0,"[]","[]"
=>541,277458000.000,0.000000,0,"[]","[]"
=>542,277464000.000,0.000000,0,"[]","[]"
=>543,277470000.000,0.000000,0,"[]","[]"
=>544,277476000.000,0.000000,0,"[]","[]"
=>545,277482000.000,0.000000,0,"[]","[]"
=>546,277488000.000,0.000000,0,"[]","[]"
=>547,277494000.000,0.000000,0,"[]","[]"
=>548,277500000.000,0.000000,0,"[]","[]"
=>549,277506000.000,0.000000,0,"[]","[]"
=>550,277512000.000,0.000000,0,"[]","[]"
=>551,277518000.000,0.000000,0,"[]","[]"
=>552,277524000.000,0.000000,0,"[]","[]"
=>553,277530000.000,0.000000,0,"[]","[]"
=>554,277536000.000,0.000000,0,"[]","[]"
=>555,277542000.000,0.000000,0,"[]","[]"
=>556,277548000.000,0.000000,0,"[]","[]"
=>557,277554000.000,0.000000,0,"[]","[]"
=>558,277560000.000,0.000000,0,"[]","[]"
=>559,277566000.000,0.000000,0,"[]","[]"
=>560,277572000.000,0.000000,0,"[]","[]"
=>561,277578000.000,0.000000,0,"[]","[]"
=>562,277584000.000,0.000000,0,"[]","[]"
=>563,277590000.000,0.000000,0,"[]","[]"
=>564,277596000.000,0.000000,0,"[]","[]"
=>565,277602000.000,0.000000,0,"[]","[]"
=>566,277608000.000,0.000000,0,"[]","[]"
=>567,277614000.000,0.000000,0,"[]","[]"
=>568,277620000.000,0.000000,0,"[]","[]"
=>569,277626000.000,0.000000,0,"[]","[]"
=>570,277632000.000,0.000000,0,"[]","[]"
=>571,277638000.000,0.000000,0,"[]","[]"
=>572,277644000.000,0.000000,0,"[]","[]"
=>573,277650000.000,0.000000,0,"[]","[]"
=>574,277656000.000,0.000000,0,"[]","[]"
=>575,277662000.000,0.000000,0,"[]","[]"
=>576,277668000.000,0.000000,0,"[]","[]"
=>577,277674000.000,0.000000,0,"[]","[]"
=>578,277680000.000,0.000000,0,"[]","[]"
=>579,277686000.000,0.000000,0,"[]","[]"
=>580,277692000.000,0.000000,0,"[]","[]"
=>581,277698000.000,0.000000,0,"[]","[]"
=>582,277704000.000,0.000000,0,"[]","[]"
=>583,277710000.000,0.000000,0,"[]","[]"
=>584,277716000.000,0.000000,0,"[]","[]"
=>585,277722000.000,0.000000,0,"[]","[]"
=>586,277728000.000,0.000000,0,"[]","[]"
=>587,277734000.000,0.000000,0,"[]","[]"
=>588,277740000.000,0.000000,0,"[]","[]"
=>589,277746000.000,0.000000,0,"[]","[]"
=>590,277752000.000,0.000000,0,"[]","[]"
=>591,277758000.000,0.000000,0,"[]","[]"
=>592,277764000.000,0.000000,0,"[]","[]"
=>593,277770000.000,0.000000,0,"[]","[]"
=>594,277776000.000,0.000000,0,"[]","[]"
=>595,277782000.000,0.000000,0,"[]","[]"
=>596,277788000.000,0.000000,0,"[]","[]"
=>597,277794000.000,0.000000,0,"[]","[]"
=>598,277800000.000,0.000000,0,"[]","[]"
=>599,277806000.000,0.000000,0,"[]","[]"
=>600,277812000.000,0.000000,0,"[]","[]"
=>601,277818000.000,0.000000,0,"[]","[]"
=>602,277824000.000,0.000000,0,"[]","[]"
=>603,277830000.000,0.000000,0,"[]","[]"
=>604,277836000.000,0.000000,0,"[]","[]"
=>605,277842000.000,0.000000,0,"[]","[]"
=>606,277848000.000,0.000000,0,"[]","[]"
=>607,277854000.000,0.000000,0,"[]","[]"
=>608,277860000.000,0.000000,0,"[]","[]"
=>609,277866000.000,0.000000,0,"[]","[]"
=>610,277872000.000,0.000000,0,"[]","[]"
=>611,277878000.000,0.000000,0,"[]","[]"
=>612,277884000.000,0.000000,0,"[]","[]"
=>613,277890000.000,0.000000,0,"[]","[]"
=>614,277896000.000,0.000000,0,"[]","[]"
=>615,277902000.000,0.000000,0,"[]","[]"
=>616,277908000.000,0.000000,0,"[]","[]"
=>617,277914000.000,0.000000,0,"[]","[]"
=>618,277920000.000,0.000000,0,"[]","[]"
=>619,277926000.000,0.000000,0,"[]","[]"
=>620,277932000.000,0.000000,0,"[]","[]"
=>621,277938000.000,0.000000,0,"[]","[]"
=>622,277944000.000,0.000000,0,"[]","[]"
=>623,277950000.000,0.000000,0,"[]","[]"
=>624,277956000.000,0.000000,0,"[]","[]"
=>625,277962000.000,0.000000,0,"[]","[]"
=>626,277968000.000,0.000000,0,"[]","[]"
=>627,277974000.000,0.000000,0,"[]","[]"
=>628,277980000.000,0.000000,0,"[]","[]"
=>629,277986000.000,0.000000,0,"[]","[]"
=>630,277992000.000,0.000000,0,"[]","[]"
=>631,277998000.000,0.000000,0,"[]","[]"
=>632,278004000.000,0.000000,0,"[]","[]"
